,SID,key,Module #,Module,Method,MID,Selected,Reason,Familiar
16,S_0,1,2,Analysis,Atomize,M_16,False,"Interesting method, did not know it. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",False
17,S_0,1,2,Analysis,Concept Mapping,M_17,False,"Interesting method, did not know it. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",False
18,S_0,1,2,Analysis,Context Mapping,M_18,False,"Interessante o mÍ©todo, nÍ£o o conhecia. No entanto identifiquei mÍ©todos mais assertivos para utilizar na soluÍ_Í£o do problema em que atuo no Brasil.",False
19,S_0,1,2,Analysis,Customer Journey Mapping,M_19,True,"Fantastic methodology. 100% customer-oriented and ""forces"" the team to understand the points of contact with the customer. Functional and ""practical"", factors that helped me in choosing.",True
20,S_0,1,2,Analysis,Empathy Map,M_20,True,"I have already applied this method in the company where I work, precisely in the construction of the Person - for the Canvas. It is extremely provocative, and naturally leads the team to ""be"" the customer, and understand it at the deepest level. Great applicability to my business reality in Brazil (services sector).",True
21,S_0,1,2,Analysis,How Might We,M_21,False,I did not know the methodology. I did not choose it because I had the top 3 already selected. Fantastic application for more specific problems.,False
22,S_0,1,2,Analysis,Kano Analysis,M_22,False,"Interesting method, did not know it. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",False
23,S_0,1,2,Analysis,Mind Mapping,M_23,False,"Interesting method, especially to ""get the head off"" ideas and tangibilize them. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",True
24,S_0,1,2,Analysis,Powers of 10,M_24,False,"I did not know the method. And, frankly, I could not bring the reality of my business - I found it too abstract.",False
25,S_0,1,2,Analysis,Reframing,M_25,False,"I did not know the method. Interesting to approach, even for being a method that ""opens the head"" and unlocks any locks in the evolution of the analysis. But I prioritized other methods, by the moment of the business of which I am part and the challenges that we have at the moment.",False
26,S_0,1,2,Analysis,Spectrum Mapping,M_26,False,"I did not know the method. I did not choose it because I understood that there are others that are more applicable to my business reality. But it can be extremely useful to be used after a Focus Group, for example - where there are often very divergent views.",False
27,S_0,1,2,Analysis,Task Analysis,M_27,False,"Interesting method, did not know it. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",False
28,S_0,1,2,Analysis,Touchpoint Matrix,M_28,False,"Interesting method, did not know it. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",False
29,S_0,1,2,Analysis,Why-How Laddering,M_29,True,"This method allows a background in the real reason behind a comment, deepening a discussion about the cause and at the same time addressing the solutions to solve them. I chose this method because I believed it to be a good complementary tool to 1: 1 interviews - which I also selected in the Analysis stage.",False
30,S_0,1,3,Ideate,3-12-3 Brainstorming,M_30,False,"I did not know this method - application of time! Fantastic to dynamic. However, I have identified more interesting methods for the reality / moment of the business / problem of which I am a part.",False
31,S_0,1,3,Ideate,6-3-5 Brainwriting,M_31,False,"Very interesting method and application. However, I have identified more interesting methods for the reality / moment of the business / problem of which I am a part.",False
32,S_0,1,3,Ideate,6-Up Sketches,M_32,False,"Interesting method, but for big challenges / problem blocks may not be the best representation - one of the reasons why I did not choose it.",True
33,S_0,1,3,Ideate,Anti-Problem,M_33,False,I loved this method - I did not know it! I ended up leaving it out by having to limit the choice to 3 - and I understood that there are 3 other more assertive methods for the moment / problem I am currently working on in my business. But it is certainly a very good idealization!,False
34,S_0,1,3,Ideate,Attribute Listing,M_34,True,"I chose this method because it is something ""Cartesian"" and easy to apply to software with clear attributes and logical outputs. I understood this facilitator as more appropriate for a lean team and an existing software, and that demands modifications.",False
35,S_0,1,3,Ideate,Biomimicry,M_35,False,I did not choose this method because it is very abstract and difficult to relate business to nature. Prioritize other methods!,False
36,S_0,1,3,Ideate,Borda Count Voting,M_36,False,"I did not know the method, and I found it interesting. I chose ""Dot Voting"" because I thought it was more dynamic.",False
37,S_0,1,3,Ideate,Brainstorming,M_37,False,"Excellent method. I see the challenges of conducting group brainstorming. I have identified other methods that I did not know, and I have selected them primarily to this one.",True
38,S_0,1,3,Ideate,Design Heuristics,M_38,False,I did not choose this method because of the complexity of applying it to a problem. I have prioritized more practical methods.,False
39,S_0,1,3,Ideate,Design the Box,M_39,False,Prioritized more practical and applicable methods to software tools - existing product and needing improvements / evaluations.,False
40,S_0,1,3,Ideate,Do-Redo-Undo,M_40,False,I did not choose this method because I understood that there are other priorities to be applied in a specific reality to which I am a part.,False
41,S_0,1,3,Ideate,Forced Analogy,M_41,False,I did not choose this method because it requires a high degree of abstraction.,False
42,S_0,1,3,Ideate,Visual Brainstorming,M_42,False,"Very engaging method! Thinking about problems related to software / user experience flows, I did not see immediate applicability. That's why I did not prioritize it in my choices.",True
43,S_0,1,3,Ideate,Weighted Matrix,M_43,False,I did not choose this method because it is better applicable to situations where there are already clear alternatives listed. This does not exactly apply to my reality / need.,False
44,S_0,1,4,Build,Additive Manufacturing,M_44,False,My business reality (sector = services) does not make sense.,False
45,S_0,1,4,Build,Direct Shell Production Casting,M_45,False,"This method is very well applicable in industry and physical items. My reality today is in a tech startup, hence the prioritization of other methods! In addition, this method/technology requires a high technical skill.",False
46,S_0,1,4,Build,Experience Prototyping,M_46,True,"Most interesting method to understand the user experience - even if online! It allows the capture of perceptions and emotions during the use of the tool and important feedback on the ""path"" that the user makes when using the tool.",False
47,S_0,1,4,Build,Fused Deposition Modelling,M_47,False,Nice method! But unfortunately it does not apply to my business reality.,False
48,S_0,1,4,Build,Laminated Object Manufacturing,M_48,False,"This method is very well applicable in industry and physical items. My reality today is in a tech startup, hence the prioritization of other methods! In addition, this technology/method requires a high technical skill.",False
49,S_0,1,4,Build,Laser Cutting,M_49,False,"Very interesting and modern method, especially for prototyping physical items.However, some of these technologies (3D printers, for example) are still not widespread in Brazil, so the non-prioritization. Besides that, my reality is in a tech company, so I've prefered to prioritize others methods.",True
50,S_0,1,4,Build,Prototyping,M_50,False,This method is very useful for the prototyping of physical items. I work in a tech startup and so I preferred to prioritize other methods!,True
51,S_0,1,4,Build,Rapid Prototyping,M_51,False,"Very interesting and modern method, especially for prototyping physical items.However, some of these technologies (3D printers, for example) are still not widespread in Brazil, so the non-prioritization of this method.",True
52,S_0,1,4,Build,Service Prototyping,M_52,False,"I did not know the method - very useful for replicating experience / service and capturing immediate insights. I did not choose it because I understood that at the time of the company / challenge we are, we need to focus our efforts on improving the online experience.",False
53,S_0,1,4,Build,Tangible Prototyping,M_53,False,Nice method! But unfortunately it does not apply to my business reality.,False
54,S_0,1,4,Build,Water Jet Cutting,M_54,False,"Very interesting and modern method, especially for prototyping physical items.However, this tecnology are still not widespread in Brazil, so the non-prioritization. Besides that, my reality is in a tech company, so I've prefered to prioritize others methods.",False
55,S_0,1,4,Build,Wireframe,M_55,True,"For an environment of a tech startup, and especially in the function that acts - Product Manager / Business Development - it is essential to have the domain of Wireframes and the Consumer Journey.",True
56,S_0,1,5,Communicate,7Ps Framework,M_56,False,"Good method, but I've already chosen my 3 ! ",False
57,S_0,1,5,Communicate,Business Model Canvas,M_57,True,"We've already use this method in our business, and it's amazing the impact to all team involved. It's easy to understand the whole chain, and to link all information.",True
58,S_0,1,5,Communicate,Composite Characters,M_58,False,"Nice method! I've never heard about it before. But I think that it can be more impactful in a ""what do i need to prioritize"" situation. Therefore, I've chosen other methods, not this one.",False
59,S_0,1,5,Communicate,Design Roadmap,M_59,False,I really liked this method. And it's good to have an overview about the product / project - especially looking for the future. But I've chosen other 3.,False
60,S_0,1,5,Communicate,Envisionment Video,M_60,True,"This kind of method allows me not just to communicate, but in last case to test the demand for a service - creating waiting lists, for instance. Dropbox made it in a famous tech case.",True
61,S_0,1,5,Communicate,Personas,M_61,False,"I've chosen personas in other stage of design thinking method. It's a such useful method, but in this stage I've others preferences.",True
62,S_0,1,5,Communicate,Service Blueprint,M_62,True,"A good method that I've learned in theDesignExchange. Once that my web app service is a reality and need improvements, this method should help to guarantee a good communication.",False
63,S_0,1,5,Communicate,Storyboard,M_63,False,"A such interesting and useful method, but in my business reality I do have others that are more interesting than this one.",False
64,S_0,1,5,Communicate,Usability Report,M_64,False,"Good method, but I've already chosen my 3 ! ",False
65,S_1,1,1,Research,1:1 Interview,M_0,False,"Potentially useful but individuals not always representative of population, and limited by interviewer's skill.",False
66,S_1,1,1,Research,AEIOU,M_1,False,It does not take location based information into account and also may be too specific to always be useful.,False
67,S_1,1,1,Research,Closed Card Sorting,M_2,False,The necessity of trends being identified before the data is organized seems out of order.,False
68,S_1,1,1,Research,Community Appraisal,M_3,False,"Seems to be more relevant for architecture or city planning projects, but I doubt I'll be working with a community here.",False
69,S_1,1,1,Research,Competitive Analysis,M_4,True,There seem to be quite a few products in the mobile sensing market so this may help to identify certain areas to focus on.,False
70,S_1,1,1,Research,Conjoint Analysis,M_5,True,Knowing which features are most valuable seems good to know and helps to determine where to spend the most resources.,False
71,S_1,1,1,Research,Conversation Cafe,M_6,False,Maybe difficult to form group and also less focused and directed as other methods.,False
72,S_1,1,1,Research,Design Ethnography,M_7,False,"Seemed like a good choice but the description mentioned it takes a long time, which may not be practical here.",False
73,S_1,1,1,Research,Focus Group,M_8,False,"Possibly hard to form a focus group during the class, also unreliable if people do not act as if they say they will.",False
74,S_1,1,1,Research,Open Card Sorting,M_9,False,Grouping data into self made categories doesn't always seem relative for every situation.,False
75,S_1,1,1,Research,POEMS,M_10,True,Seems to provide a fairly broad foundation for research; especially useful since I'm likely not familiar with whatever market is addressed. ,False
76,S_1,1,1,Research,POSTA,M_11,False,"Honestly, this description seems really similar to POEMS, and I got to that first.",False
77,S_1,1,1,Research,Usability Testing,M_12,False,"I already chose 3, otherwise I'd like to. However, this seems a bit less useful than the others I've already chosen since certain issues it raises can be assuaged with inherent design skill and experience.",False
78,S_1,1,1,Research,User Observation,M_13,False,Observing a user may cause them to behave differently.,False
79,S_1,1,2,Analysis,2x2 Matrix,M_14,False,"While this method has some potential, our current level of research may be too broad for this method to function effectively. It may not be feasible to categorize all our points against 2 axes with the current lack of breadth. This would perhaps be useful in the near future, but the list as options that may be more valuable. ",False
80,S_1,1,2,Analysis,Affinity Diagram,M_15,False,"I feel like this functions similarly to open card sorting, and I feel that the trends revealed are often heavily biased as the design team is the one creating the categories. As such, the themes may not always be relevant.",False
81,S_1,1,2,Analysis,Atomize,M_16,False,"I have not yet identified a super complex system that needs this level of breakdown within the topics we are working on. I think, to break down our current topic to this level could be potentially confusing as it would break down a fairly intuitive problem.",False
82,S_1,1,2,Analysis,Concept Mapping,M_17,False,"This method seems as if it would be difficult to understand given its non-linear organization.  As such, the trends it may reveal may not be readily apparent and also may be difficult to share with other team members.",False
83,S_1,1,2,Analysis,Context Mapping,M_18,False,"This method was a strong contender, but I think since our demographic is similar to us, we already have a strong understanding of the context in which we operate. If we sough to expand to new markets, then this would perhaps be a top priority.",False
84,S_1,1,2,Analysis,Customer Journey Mapping,M_19,False,"Without a clear product or service at this point, this method is not particularly relevant. As we develop something more concrete, perhaps this method will be worth revisiting in evaluating any potential gaps withing our product or service. ",False
85,S_1,1,2,Analysis,Empathy Map,M_20,False,"Since we largely chose to focus on younger adults and college students, I feel an empathy map is not as valuable as our target demographic is already one which we greatly relate to. However, if we were working with a less familiar demographic, this would be invaluable for understanding their perhaps differing motives and perspectives.",False
86,S_1,1,2,Analysis,How Might We,M_21,True,"This method, being more cooperative, I feel would help improve our team synergy and decentralize the ideas emerging.  I think by forming the how might we questions, we would also better be able to check our assumptions about the issue and ensure that we do not take a path that is too narrow - a problem I am concerned with currently.",True
87,S_1,1,2,Analysis,Kano Analysis,M_22,False,"While, I did not choose this method due it perhaps being less useful to me because of its dependence on inference, it seems like it would be a useful analysis once we fully determined the features of our product. Since we have not done that yet, it does not help suggest new features and thus may not be super useful. ",False
88,S_1,1,2,Analysis,Mind Mapping,M_23,False,"I think the largest downfall of this method is that it may be difficult to share, which erodes the value of a team environment. Furthermore, I do no think we have the data that would make sense in being organized in such a fashion.",False
89,S_1,1,2,Analysis,Powers of 10,M_24,True,"With our current research and problem we identified, the perceived solutions fall into a fairly narrow category. Through power of ten and reframing the issue, perhaps the new perspectives could help us to increase our diversity of potential opportunities.",False
90,S_1,1,2,Analysis,Reframing,M_25,False,"This was an option I strongly considered but I chose to use the power of ten method instead which is also a form of reframing, so more there.",False
91,S_1,1,2,Analysis,Spectrum Mapping,M_26,False,"Spectrum mapping, focusing on varying user's views, does not always seem to be the most relevant in this case as the problems we are considering tackling may not necessarily have such an extensive diversity of perspectives thus limiting the ability of this mapping technique.",False
92,S_1,1,2,Analysis,Task Analysis,M_27,False,I think achieving a specific task is not necessarily the primary focus point for us as much as evaluating how external factors may influence the ability or interest in fulfilling the task.,False
93,S_1,1,2,Analysis,Touchpoint Matrix,M_28,True,"While this method was initially hard to understand and seems difficult to implement, as we move towards a more concrete design solution, I think the flows of the product or service it reveals will be helpful in seeing each team member's idea of the produce along with providing a clear understanding of how our product is meant to be used- which may help us evaluate better its effectiveness in how users' operate it.",False
94,S_1,1,2,Analysis,Why-How Laddering,M_29,False,"This method seems quite useful for broader topics and helps to narrow down the rationales for people's actions, but may not be the most suitable for more specific problems where the rationales may be more apparent. In our case, I believe something that extends the scope a bit broader may be more useful.",False
95,S_1,1,3,Ideate,3-12-3 Brainstorming,M_30,False,"Again, since this is a variation of brainstorming I don't think it would best fit our current group dynamics. The proposition of rapid idea generation does seem appealing though.",False
96,S_1,1,3,Ideate,6-3-5 Brainwriting,M_31,True,"I mainly chose this since regular brain writing seems to be missing. Brainwriting, however, i feel would be a valuable method for our group as it tries to draw out responses from all the members of the group which will hopefully even out participation. Furthermore, it provides a fairly free-form, open foundation that is conducive to interesting and creative ideas. I am not entirely sure 6-3-5 brain writing specifically is the best form of brain writing, as it requires 6 people and its difficult to involve everyone in the process, so the time constraints may actually work against smaller groups in creating reduced ideation volume. ",False
97,S_1,1,3,Ideate,6-Up Sketches,M_32,False,"This choice sounded interesting in quickly generating ideas, but when your solution is less physically tangible I feel it may be difficult to effectively sketch out how a user may interact with the product. While I am more confident about sketching skills, I think for the group, people's lack of confidence in sketching may reduce the method's effectiveness and also make it more difficult to interpret the sketches.",False
98,S_1,1,3,Ideate,Anti-Problem,M_33,False,"This method may be helpful regarding more dichotomous issues, but when regarding the topic of safety, I think finding a solution for students to be unsafe may not be particularly helpful. ",False
99,S_1,1,3,Ideate,Attribute Listing,M_34,False,"Attribute listing definitely seems like a useful method that could be applicable in the future, but at this point since there isn't anything concrete yet, it may be difficult to identify the most relevant features of existing products. ",False
100,S_1,1,3,Ideate,Biomimicry,M_35,False,"This is actually a method that I am interested in using. However, since it is a bit less reliable I did not directly select it. However, it would be interesting to see whether protection mechanisms in nature are applicable to human interactions.",True
101,S_1,1,3,Ideate,Borda Count Voting,M_36,False,"I feel as if this method is very similar to weighted matrix except it deals with an entire product rather than just features. Since we are not that far in to have many solutions yet, I think identifying and compiling features may be better.",False
102,S_1,1,3,Ideate,Brainstorming,M_37,False,"Brainstorming requires a fairly equally participating group in order to be most effective. I think that is not necessarily the case for our group so to try to maximize participation from less active members, brainstorming is probably less effective.",False
103,S_1,1,3,Ideate,Design Heuristics,M_38,False,"While I am not particularly familiar with this method, it seems to be an extremely guided method without as much freedom as the other methods. Furthermore, the method supposedly generates fairly practical solutions, but our issue already generally yields practical solutions, so I think some creative solutions wouldn't hurt.",False
104,S_1,1,3,Ideate,Design the Box,M_39,True,"I chose this mainly because it was a somewhat different, more fun method that dealt with more visual considerations. In creating tangible selling points for our product, I think we can better understand our goals for the solution.",False
105,S_1,1,3,Ideate,Do-Redo-Undo,M_40,False,"This method seems an interesting, less usual approach to design, but was also very difficult to fully grasp and so may be difficult to use. Furthermore, it requires an initial prototype to use, which we do not have at this point.",False
106,S_1,1,3,Ideate,Forced Analogy,M_41,False,"This method, while interesting, and perhaps performs a task kind of like reframing, I feel may not be relevant in every case. At times, it may be difficult to draw these analogies, and is heavily based on the skills of the individual participants. Furthermore, this method seems to take a significant amount of time which may not be the most efficient given the course's short time spans.",False
107,S_1,1,3,Ideate,Visual Brainstorming,M_42,False,"This method initially seemed appealing but also seems to have significant overlap with brain writing, which is a method I did choose. I think brain writing is just  a bit more versatile as it allows you to write and sketch to exchange ideas. Visual representation, while nice, may not always be the most efficient means to develop ideas.",False
108,S_1,1,3,Ideate,Weighted Matrix,M_43,True,I think this method would be quite effective in further developing our design once we come up with some initial solution. It is more specific than borda count voting and may help identify and prioritize our more valuable features all in a collaborative environment. ,False
109,S_1,1,4,Build,Additive Manufacturing,M_44,False,"Since additive manufacturing is meant for more unusual geometries that are difficult to manufacture conventionally, it has little tangible benefit for our use case compared to more conventional methods.",True
110,S_1,1,4,Build,Direct Shell Production Casting,M_45,False,"This method I found more interesting for our design as creating metal shells could be valuable in creating a higher fidelity prototype. I just didn't choose it as I'm not super familiar with the method and am unsure whether there may be any more efficient methods, since this doesn't seem readily available.",False
111,S_1,1,4,Build,Experience Prototyping,M_46,True,"Since we are not guaranteed to focus on the physical portion of our design, I would want to ensure that at least the user experience portion of the design, especially regarding the application is done well. ",False
112,S_1,1,4,Build,Fused Deposition Modelling,M_47,False,"Our design generally doesn't require a particularly high degree of accuracy and as such, it's an necessary time sink to use this method.",False
113,S_1,1,4,Build,Laminated Object Manufacturing,M_48,False,Stacking really doesn't seem like a particularly efficient way of creating highly vertical objects. Could be useful if combined with regular laser cutting or something similar that could create vertical panels.,False
114,S_1,1,4,Build,Laser Cutting,M_49,False,Laser cutting is quite specific and probably is less useful in quickly prototyping the shell and internals of a smart street lamp type design given the scale.,True
115,S_1,1,4,Build,Prototyping,M_50,False,This method seems very broad and has significant overlap with other methods so in the end I didn't choose this method though obviously prototyping is quite valuable.,True
116,S_1,1,4,Build,Rapid Prototyping,M_51,True,"Again, this method is quite broad and overlaps with more specific methods. However, I actually chose the method this time as I'm not sure what specific method we would use. Rapid prototyping in general seems like it would be useful as it could help quickly create a functional prototype.",False
117,S_1,1,4,Build,Service Prototyping,M_52,False,"Setting up a service prototype with our design and the time of the class sounds quite difficult as our design requires a network of the design waypoints, not just a single one.",False
118,S_1,1,4,Build,Tangible Prototyping,M_53,False,"This method is also quite broad. However, given the length of the class and the large/ expensive production requirements of our product, a physical representation of the design may not be the most practical.",False
119,S_1,1,4,Build,Water Jet Cutting,M_54,False,"Again, given the primary design we're considering, water jet seems unnecessary for prototyping in our case. It allows accurate cutouts of irregular shapes, but street lamps aren't generally particularly irregular.",True
120,S_1,1,4,Build,Wireframe,M_55,True,"Our idea has both physical installations on campus as well as an application that allows data to be useful and relayed back to the user. As such, I think wireframe would be a useful method to help us design the application portion of our design.",False
121,S_1,1,5,Communicate,7Ps Framework,M_56,True," While the other 2 methods chosen (storyboarding and personas) are more based on documenting the user experience, I selected the 7 P_Ñés to complement that method. 7 P_Ñés I feel provides a useful counterpart that helps to organize and communicate the ideas and doings of the design team, and thus may also help present the thought process that lead the user_Ñés experience.",False
122,S_1,1,5,Communicate,Business Model Canvas,M_57,False,This isn't listed in the collection for our reading. There's only 8 methods there but 9 over here.,False
123,S_1,1,5,Communicate,Composite Characters,M_58,False,"This was an interesting choice as it had heavy overlaps with persona. However, I chose persona as the main value of composite characters is in being able to combine characteristics. The issue is that the main differentiations with our current personas - level of campus knowledge is somewhat mutually exclusive and thus does not benefit from that.",False
124,S_1,1,5,Communicate,Design Roadmap,M_59,False," Design roadmapping sounds quite useful as it is the only method we_Ñéve covered that explicitly takes time into account and heavily involves a longer-term span in its scope. While this method would be useful for perhaps future projects, the short term nature of this class makes it seem a bit less useful.",False
125,S_1,1,5,Communicate,Envisionment Video,M_60,False,"The envisionment video seems useful - it follows a similar role to storyboarding. However, in the interest of time, a video does not seem like the most efficient method of communication. With lack of manpower and large time requirements for editing and filming, I avoided this method.",True
126,S_1,1,5,Communicate,Personas,M_61,True,"Since we had already tended to use personas throughout the project, I felt it was logical to continue in our selection of the method. When done properly and not based on assumptions, I think personas are very valuable in envisioning what the needs of the users are and how the user may approach the product differently to initial expectations.",True
127,S_1,1,5,Communicate,Service Blueprint,M_62,False,"As the reading notes, this method seems to be useful for complex services, but our service is not necessarily that complex and fairly easily understood. As such I think it would not be too beneficial to spend a significant amount of time listing and categorizing all the details of the service.",False
128,S_1,1,5,Communicate,Storyboard,M_63,True," I chose this method because it seems like a less intense, more visual service blueprint. This method I feel has value in describing how the user progresses while using the service, but unlike service blueprint, is less text detail based and uses visuals that may help provide better context.",False
129,S_1,1,5,Communicate,Usability Report,M_64,False,"I did not choose usability report as it seems a bit more oriented towards earlier in the design process. However, it could see potential use in showing how our design addressed the concerns raised in the interviews. Ultimately, I chose storyboard and persona though as I think they help build a more comprehensive image of the user.",False
130,S_2,1,1,Research,1:1 Interview,M_0,False,"It takes realy a long time to do the survey and if you want to have a general idea of how your products work, which means tremendous works.",True
131,S_2,1,1,Research,AEIOU,M_1,True,Because it can be heuristic and be a guideline of our futher design.,True
132,S_2,1,1,Research,Closed Card Sorting,M_2,False,Some cards or thoughts can be included in the AEIOU.,True
133,S_2,1,1,Research,Community Appraisal,M_3,False,It is kind of limited to a community.,False
134,S_2,1,1,Research,Competitive Analysis,M_4,True,It is really important to have everyone's ideas and combine them into one critique thinking.Also we can make some SWOT Analysis which can guide to improve our designs.,True
135,S_2,1,1,Research,Conjoint Analysis,M_5,False,It's kind of restricted to one individual product.,False
136,S_2,1,1,Research,Conversation Cafe,M_6,False,"It's nice to get everyone and both out minds and hearts involoved,but it can't bring deep thinkings,just to be open-minded.",True
137,S_2,1,1,Research,Design Ethnography,M_7,False,"It sounds interesting,but it can be only used at the beginning od the design process.And maybe the process is kind of complicated or confusing.",False
138,S_2,1,1,Research,Focus Group,M_8,False,"It is really important to get feedbacks from the users, but it is kind of similar to the usability testing, and I choose that one ,cause it is of more importance to improve our products.",True
139,S_2,1,1,Research,Open Card Sorting,M_9,False,Some cards or thoughts can be included in the AEIOU.,False
140,S_2,1,1,Research,POEMS,M_10,False,It has some simiarities with the methods AEIOU.,True
141,S_2,1,1,Research,POSTA,M_11,False,It has some simiarities with the methods AEIOU.,True
142,S_2,1,1,Research,Usability Testing,M_12,True,"We'll have to go through the users' normal everyday life and get a direct input on how they use the object and which aspect of the experience they enjoy most as well as the potential problems that may comes up through the process.Through this testing ,we can optimize the product greatly.",True
143,S_2,1,1,Research,User Observation,M_13,False,"We can get a direct or indirect response from our users, but it's kind od similiar to the usability testing.",True
144,S_2,1,2,Analysis,2x2 Matrix,M_14,False,Due to the limited space and it may take some time to figure out or draw the conclusion.,True
145,S_2,1,2,Analysis,Affinity Diagram,M_15,False,It's only used when you have to sort large amounts of data into a logical groups.,False
146,S_2,1,2,Analysis,Atomize,M_16,False,"It's quite a good way to explore in depth, but it just have one simple root,it's kind of limited.",False
147,S_2,1,2,Analysis,Concept Mapping,M_17,True,You have different roots and can easily organize and structure knowledge you've collected.I can help us to figure the designers' and users' needs as well as expectaations.,True
148,S_2,1,2,Analysis,Context Mapping,M_18,False,Maybe it's kind of similiar to Mind Map.,False
149,S_2,1,2,Analysis,Customer Journey Mapping,M_19,False,"It's really useful to visualize users' interaction experiences, but it will take much time.Though it's kind of like our own design journey.",True
150,S_2,1,2,Analysis,Empathy Map,M_20,True,It can be used at early stage and it can organize observations and represent to our users.,False
151,S_2,1,2,Analysis,How Might We,M_21,False,"It's a way to find a balance between being too narrow and overly broad, but you have to keep asking questions.",False
152,S_2,1,2,Analysis,Kano Analysis,M_22,False,"It's quie visualize and can see the quality of needs and satisfications through the diagram,but as there are only 4 zones in the diagram ,it's kind of limited and maybe cannot state the question clearly.",False
153,S_2,1,2,Analysis,Mind Mapping,M_23,True,"It can generate, visualize, organize and classify infromations as well as insights.Also it can be seen clearly.",True
154,S_2,1,2,Analysis,Powers of 10,M_24,False,It's kind of similar to reframing.,False
155,S_2,1,2,Analysis,Reframing,M_25,False,"It's a great to come up with different ideas , but can be combined or used in other methods together.",True
156,S_2,1,2,Analysis,Spectrum Mapping,M_26,False,It may be helpful in gathering insights.,True
157,S_2,1,2,Analysis,Task Analysis,M_27,False,"It's like drawing a diagram and just figure out the possible answers, which is in some way similiar to Mind Map.",True
158,S_2,1,2,Analysis,Touchpoint Matrix,M_28,False,It's kind of confusing and you'll have to compare different touchpoints and connect different dots.,False
159,S_2,1,2,Analysis,Why-How Laddering,M_29,False,It's good to discover goals but kind of frustrating cause you have to keep asking how and why.,True
160,S_2,1,3,Ideate,3-12-3 Brainstorming,M_30,False,Sometimes brainstorming will take some time and the time here is limited.,False
161,S_2,1,3,Ideate,6-3-5 Brainwriting,M_31,False,It can get ideas very quickly and can have aboundant points but it can be kind of in a hurry.,False
162,S_2,1,3,Ideate,6-Up Sketches,M_32,False,It can be used in other methods as a way to gather ideas.,True
163,S_2,1,3,Ideate,Anti-Problem,M_33,True,"This method can provide you some different and competitive ideas, which will help evaluate the problem and break out of existing patterns.",True
164,S_2,1,3,Ideate,Attribute Listing,M_34,True,Sometimes we really need to break down the system and find some great insightful ideas from the component and to develope general or specific views from our project.,False
165,S_2,1,3,Ideate,Biomimicry,M_35,False,"We can really get some insights from the nature, it's quite insightful. But it may apply when to design the shape or constructions of some products.",True
166,S_2,1,3,Ideate,Borda Count Voting,M_36,False,It can be of some help when making decisions. What we really need is hoe to develope the project and make it deepen.,False
167,S_2,1,3,Ideate,Brainstorming,M_37,False,I have choosen Visual Brainstorming from which ideas can be more quickly stated.,True
168,S_2,1,3,Ideate,Design Heuristics,M_38,False,"It need quite big data like 77 cognitive shortcuts, which may be hard to achieve.",False
