,Team,Module,Chosen Method,Reason,Decision Process
27,Team 4,2,Reframing,"Our research focused on a fairly specific issue of safety during transit around campus. Since this topic has been approached many times with fairly similar solution and also already includes many university-offered solutions, reframing the question would perhaps help to broaden our view and find different answers that may be more relatable to the design challenge of mobile sensing.","After having finished the research, we tried to find the methods that best made sense to us and also would best complement the type of data we had acquired. We knew that campus safety was a very saturated topic and wanted to ensure we found new and unique ways to approach the issue and thus chose reframing to try to find fresh solutions."
28,Team 4,2,Atomize,"Atomization seems like a natural extension of the combination of knowledge found through AEIOU research and 1:1 interviews. By reducing the larger topic to its most basic constituents, we are able to get an extract to build larger ideas off of. It fits well since it allows us to frame all our findings and have a visual discussion over the next step  in our system.","Again, in trying to find design methods that complemented our research, we came across atomization. While everyone had a very general idea of what was generally associated with campus transit and safety, atomization allows us to perhaps discover details we were not aware of that may provide a solution or a new facet of safety."
29,Team 4,2,2x2 Matrix,"As previously mentioned, during class, our use of the 2x2 matrix with safety and convenience along one axis and student/caretaker along the other helped to reveal valuable insight. By continuing use of this method with other interesting factors, we hope to find useful trends as well as opportunity to design.","While we initially did not select this method, our exploration with it in todayÛªs class revealed that the 2x2 matrix was more important that we initially thought as it revealed certain trends through axes that we did not already consider."
30,Team 5,2,Why-how Laddering,We think this method would be a great way to flesh out customer needs from different areas ranging from practical to emotional and social.,One team member suggested this method and others readily agreed.
31,Team 5,2,Customer Journey Mapping,"User experience data is clearly organized by diagram in Customer Journey Mapping, and the relations between each element is easy to read.",We are highly focusing on BART usersÛª riding experience. We all agree on this method to go deeper understanding of users.
32,Team 5,2,Kano Analysis,"It lets us prioritize and categorize all the different features weÛªre thinking about. In addition, we will build up a better understanding of the factors which influence customers enjoyable level of riding BART.",One of our team member points out that we need a method to categorize so many features that we came out of our product. All members agree.
33,Team 6,2,Empathy Map,"We chose this method so that we could understand our customer better. This method also complements the why-how laddering because that goes very deep into their needs and identifies the base need while this works at a slightly higher level and allows us to empathize with the customer. By doing so, we can better create a product that suits their needs. This is an appropriate method for tackling the challenge because it forces us into the minds of the user instead of the designer and gives us a holistic view which is very useful for creating an effective design","We took a vote on the three methods to use and empathy map had a large number of votes. From there, we discussed our options until we reached a consensus to use this method."
34,Team 6,2,2x2 Matrix,"Our other two methods focused on better understanding the consumer. This method complements them by allowing us to narrow down the needs into what we can implement well. This is an appropriate method because given our time constraint, we cannot work on everything at once and we must prioritize. The 2x2 matrix helps to do that.",We took a vote on which 3 methods to use and this gained enough votes to go onto the discussion. We discussed our options and and reached a consensus to use this method.
35,Team 6,2,Why-how Laddering,"We believe that by using this method, we can understand the root needs of people. By knowing what our customer wants deep down, we can better create a product that fits them. We think it is an appropriate method because it works with the amount of data that we have and it helps us understand the customer very well which is an important aspect of design.",We took a vote on the three methods and this was one of the methods that we chose unanimously.
36,Team 1,3,6-Up Sketches,"Since our goal during the ideate stage was to exchange ideas and generate as many design concepts as possible, we needed a method that promotes creative thinking and group discussion. We thought that 6-Up Sketches was a very good method for idea exchange since it allows each individual to introduce their top six designs with the rest of the team using sketches. We really liked the use of sketches as a way to present ideas since visuals are great for understanding a concept or product design.","After reviewing the different methods in lecture, we talked amongst ourselves and discussed the pros and cons of each method to choose the one that is most useful. One team member suggested that 6-Up sketches is a great method to start out with since it allows each member to draw and write up their 6 best ideas to share with the group. After reaching group consensus, we began sketching out our ideas individually. "
37,Team 1,3,6-3-5 Brainwriting,"We considered the pros and cons of this method. 6-3-5 Brainwriting allows us to develop each team memberâs ideas as well as to write down new ideas inspired by them. Because each round of idea generation is only 5 minutes and there are a total of six rounds, we are able to generate many ideas using this method. One limitation that we considered was the pressure and stress from the time constraint may reduce the quality of our ideas. However, we felt that the pros outweighed the con and for this reason, we chose this method. ","Now that weâve got our best ideas out in the open, it was time to generate more ideas. One member suggested using 6-3-5 Brainwriting as our next ideation method due to it yielding many concepts in a short amount of time. After considering the pros (generates many ideas, saves time, efficiency) and cons (time pressure may affect quality of ideas) of this method as a group, we reached group consensus once again and began exercising this method. "
38,Team 1,3,Brainstorming,"The reason why we chose Brainstorming is because this method is freeform and lacks any method guidelines, which allows room for exploration, flexibility and creativity. We believed that having this freedom will aid us in thinking outside of the box and generating unprecedented design concepts. This method also allows for both individual work and group collaboration by using different ways of brainstorming.","Due to time restraints for generating design concepts during lecture, our team was unable to generate 60 ideas by the end of lecture. In order to come up with additional ideas, our team decided to brainstorm and add ideas to our spreadsheet. "
39,Team 2,3,Visual Brainstorming,"Through this method, it helps us to figure out many thoughts that canât be express clearly. And when someone shows a picture, we may have some questions towards this, then we will think of some related situations or solutions to this problem. This helps us to enlarge our project and we consider this to be a main factor for us to choose this method.","Visual Brainstorming helps us to get a better understanding of whatâs our exact thinking is, sometimes it may be a little hard to express only by words. Also, visual pictures can give us a vivid description of our insights and it may arouse other insights if someone else sees your pictures."
40,Team 2,3,3-12-3 Brainstorming,"The factors we considered is whether we could generate ideas in such a short time without any laborious discussion and whether this idea can improve our existing project and strategy. Luckily, we did! I highly recommend this method because in such a fast paced process, we could explore deeper mind to make decisions, and we can generate more ideas than just sit listless and think the ideas.","3-12-3 Brainstorming provides us so limited time to brainstorming and presenting the ideas we generated. Our team decide on using this method because it gives us time pressure, make use of the class time to brainstorm and generate ideas, express our ideas in the group. Though we canât generate lots of ideas in a such a short time, we still try it!"
41,Team 2,3,Attribute Listing,"In an integrated system, every parts act in their functions. We thought using Attribute Listing to separate links apart can greatly add possibility and variety to our product. Thus it helps us to come up with more creative ideas with quality.","In ideate process, we wants to get as more ideas as possible. Using the attribute listing, we can combine different functions together to form a complicated system and gain more ideas in shorter time."
42,Team 3,3,Brainstorming,"
 In terms of structure, our team decided to take a âround robin approach in which we all took turns coming up with an idea and then gave feedback. After, we each took 10-15 min to sketch down the ideas that we had brainstormed while incorporating the feedback we received from round one. We then conducted another round of feedback with all of our completed ideas. From there we each used dot voting to select what our team believed to be the most viable of the ideas and did yet another round of brainstorming as to what these concepts would look like fleshed out, thus combining design-the-box in our brainstorming portion. By having multiple rounds of this brainstorming/feedback loop, we believe that we narrowed down our ideation process to produce both quantity and quality which made the clustering process easier, thus hopefully leading to a smooth creation process. 
","Our team opted to using brainstorming as one of our ideation methods due to the difficult time constraints and freedom offered by the process. We were all familiar with collective brainstorming as a process, and as a result of the completion of the 10 individual ideas, we were in a  good position to have a productive ideation/brainstorming session. We arrived at the consensus through discussion and then a vote, which was unanimously in favor of utilizing the brainstorming process. "
43,Team 3,3,Design Heuristics,"The main factors that contributed to our decision in choosing design heuristics are fun and fluidity of the ideation process. We want the ideation process to be fun for all the members so that we do not get discouraged by sudden writer'sâ block in coming up with so many ideas. We also want the ideation process to be mostly a team effort and keep everyone in the team engaged in the idea generation, evaluation, and combination. One of the main problems we encountered individually when we were coming up with our own concepts was that we seemed to be fixated on a few features of the solutions and cannot seem to create more new ideas. After we started using the cards, we realized that design heuristics is good for both team communication, spirit, and individual writerâs blocks in the ideation process.","As a team, we first were experimenting with different methods when we were first asked to start ideating in class. After the guest speakerâs lectures and detailed explanations of different ideation methods, we thought that design heuristics would be a fun team activity and helpful in developing various ideas that we came up with. A little bit into the ideation stage, Rose went up and took some design heuristics cards and shared it with the team. Our team all started to pull the cards and experiment with it. Later on in the decision making process, Imani proposed that this should be one of our three ideating methods, and the team unanimously agreed that it is a fun process and help generate interesting and unique ideas. "
44,Team 3,3,Weighted Matrix,"Overall, they reason why weighted matrix was chosen when selecting methods was its accuracy. Given a lot of option we concluded. We are supposed to quantitative analyse all opinions and rank them to have specific sequence. By using weighted matrix, weighted scores are summed, giving a total score for each designed method. This is our teamâs decision-making process.","Our team chose weighted matrix as one of us ideation method due to the decision make in comparing different supplies. Weighted matrices can be used to evaluate and prioritize alternative design options during concept evaluation.We have already come up with several design opinions but the thing is we also have diverse tendency towards each opinions. Each design option is numerically scored for each criterion and this score is multiplied by the criterionâs weight by using this method.Therefore, we believe weighted matrix will provide us with accurate, scored opinion."
45,Team 3,3,Brainstorming," In terms of structure, our team decided to take a âround robin approach in which we all took turns coming up with an idea and then gave feedback. After, we each took 10-15 min to sketch down the ideas that we had brainstormed while incorporating the feedback we received from round one. We then conducted another round of feedback with all of our completed ideas. From there we each used dot voting to select what our team believed to be the most viable of the ideas and did yet another round of brainstorming as to what these concepts would look like fleshed out, thus combining design-the-box in our brainstorming portion. By having multiple rounds of this brainstorming/feedback loop, we believe that we narrowed down our ideation process to produce both quantity and quality which made the clustering process easier, thus hopefully leading to a smooth creation process. ","Our team opted to using brainstorming as one of our ideation methods due to the difficult time constraints and freedom offered by the process. We were all familiar with collective brainstorming as a process, and as a result of the completion of the 10 individual ideas, we were in a  good position to have a productive ideation/brainstorming session. We arrived at the consensus through discussion and then a vote, which was unanimously in favor of utilizing the brainstorming process. 
"
46,Team 3,3,Design Heuristics,"The main factors that contributed to our decision in choosing design heuristics are fun and fluidity of the ideation process. We want the ideation process to be fun for all the members so that we do not get discouraged by sudden writer'sâ block in coming up with so many ideas. We also want the ideation process to be mostly a team effort and keep everyone in the team engaged in the idea generation, evaluation, and combination. One of the main problems we encountered individually when we were coming up with our own concepts was that we seemed to be fixated on a few features of the solutions and cannot seem to create more new ideas. After we started using the cards, we realized that design heuristics is good for both team communication, spirit, and individual writerâs blocks in the ideation process.","As a team, we first were experimenting with different methods when we were first asked to start ideating in class. After the guest speakerâs lectures and detailed explanations of different ideation methods, we thought that design heuristics would be a fun team activity and helpful in developing various ideas that we came up with. A little bit into the ideation stage, Rose went up and took some design heuristics cards and shared it with the team. Our team all started to pull the cards and experiment with it. Later on in the decision making process, Imani proposed that this should be one of our three ideating methods, and the team unanimously agreed that it is a fun process and help generate interesting and unique ideas. "
47,Team 3,3,Weighted Matrix,"Overall, they reason why weighted matrix was chosen when selecting methods was its accuracy. Given a lot of option we concluded. We are supposed to quantitative analyse all opinions and rank them to have specific sequence. By using weighted matrix, weighted scores are summed, giving a total score for each designed method. This is our teamâs decision-making process."," Our team chose weighted matrix as one of us ideation method due to the decision make in comparing different supplies. Weighted matrices can be used to evaluate and prioritize alternative design options during concept evaluation.We have already come up with several design opinions but the thing is we also have diverse tendency towards each opinions. Each design option is numerically scored for each criterion and this score is multiplied by the criterionâs weight by using this method.Therefore, we believe weighted matrix will provide us with accurate, scored opinion."
48,Team 3,3,Brainstorming," In terms of structure, our team decided to take a âround robin approach in which we all took turns coming up with an idea and then gave feedback. After, we each took 10-15 min to sketch down the ideas that we had brainstormed while incorporating the feedback we received from round one. We then conducted another round of feedback with all of our completed ideas. From there we each used dot voting to select what our team believed to be the most viable of the ideas and did yet another round of brainstorming as to what these concepts would look like fleshed out, thus combining design-the-box in our brainstorming portion. By having multiple rounds of this brainstorming/feedback loop, we believe that we narrowed down our ideation process to produce both quantity and quality which made the clustering process easier, thus hopefully leading to a smooth creation process. ","Our team opted to using brainstorming as one of our ideation methods due to the difficult time constraints and freedom offered by the process. We were all familiar with collective brainstorming as a process, and as a result of the completion of the 10 individual ideas, we were in a  good position to have a productive ideation/brainstorming session. We arrived at the consensus through discussion and then a vote, which was unanimously in favor of utilizing the brainstorming process. "
49,Team 3,3,Design Heuristics,"The main factors that contributed to our decision in choosing design heuristics are fun and fluidity of the ideation process. We want the ideation process to be fun for all the members so that we do not get discouraged by sudden writer'sâ block in coming up with so many ideas. We also want the ideation process to be mostly a team effort and keep everyone in the team engaged in the idea generation, evaluation, and combination. One of the main problems we encountered individually when we were coming up with our own concepts was that we seemed to be fixated on a few features of the solutions and cannot seem to create more new ideas. After we started using the cards, we realized that design heuristics is good for both team communication, spirit, and individual writerâs blocks in the ideation process.","As a team, we first were experimenting with different methods when we were first asked to start ideating in class. After the guest speakerâs lectures and detailed explanations of different ideation methods, we thought that design heuristics would be a fun team activity and helpful in developing various ideas that we came up with. A little bit into the ideation stage, Rose went up and took some design heuristics cards and shared it with the team. Our team all started to pull the cards and experiment with it. Later on in the decision making process, Imani proposed that this should be one of our three ideating methods, and the team unanimously agreed that it is a fun process and help generate interesting and unique ideas. "
